34003335,Abigail Nazira Marten Aguirre,M Aguado 387 Norte,264 468-4223,97,2015-11-25,2016-08-11,150
32039747,Bautista Hermenegildo Sehezar Romagosa,Patricias Sanjuaninas 2356 Oeste,264 432-3313,36,2016-12-30,2020-12-04,150
26699450,Julia Fernanda Melo Maynart,Salta 1521 Oeste,264 524-3542,53,2020-03-04,2023-12-22,150
25000124,Solange Emily Aguero Quinto,Cristobal Colon 2299 Norte,264 468-3961,30,2015-08-05,2019-09-26,150
28099433,Carla Sophia Varsot Suazo,J Fontana 1596 Oeste,264 436-6161,46,2018-08-04,2020-03-07,150
29717044,Florencia Daniela Gurrero DeEzpeleta,San Jose 1683 Sur,264 437-1099,66,2015-03-22,2016-03-18,150
39857745,Natalio Olaf Posla Baldelomar,Gral M Belgrano 2276 Este,264 400-4810,14,2016-01-26,2025-08-02,150
28597192,Ernestina Marisol Greco Hernando,Haiti 1163 Oeste,264 524-9299,85,2017-10-26,2023-11-30,150
39007661,Aureliano German Galino Peynado,A Rodrigo 1490 Oeste,264 591-4403,99,2018-04-08,2021-04-24,150
42993534,Normann Cesareo Merizalde Dasilva,Antequeda 1105 Oeste,264 587-8544,48,2019-08-24,2025-01-16,150
